Vak,Methode,Leerjaar,Niveau,Boek-ID,Ebook,Ebook-ID,Tijdstempel,CDN-ID
Aardrijkskunde,buiteNLand,1,havo / vwo,4a32ad6c-6b22-4fdc-abb8-f26e9aef70e8,buiteNLand 1 HAVO/VWO Leerboek,cd2c73e5-77a2-4314-8763-db82a8bf7185,20180424091942,
,,,,,buiteNLand 1 HAVO/VWO Werkboek,190e6868-1872-4940-8ab1-fbd14b69fbcd,20180424113216,
,,,,,Leerwerkboek 1-havo-vwo FLEX (5e ed.),36c051f2-4cfe-4fee-b42a-0d119c299706,20230329103934,d4e942ef-0c15-4d69-bfbe-763ee67d97f6
Aardrijkskunde,buiteNLand,1,havo / vwo,91983e11-35b9-4f8b-8057-85b4e2857c5a,buiteNLand 1 TTO Textbook,2a35cb76-6c1e-4e4f-bf6c-9c6144320a6c,20180424100501,
,,,,,buiteNLand 1 HAVO/VWO Workbook,2d31b8f5-9951-46fa-8bc0-b73d9350f8dc,20180424115226,
,,,,,Leerwerkboek 1-havo-vwo TTO FLEX English edition (5e Ed.),cc035d24-83f4-4858-ba57-97b3aebf5115,20230531063510,23bba2e2-62e2-4960-ab38-99b8d2450b38
Aardrijkskunde,buiteNLand,1,vmbo bk,7879483c-b81b-42f5-b723-f0cf231cd7a7,buiteNLand 1 VMBO-BK Leerboek,a5460ce2-3cc3-4842-8cbd-975ca41ffe1a,20180424130324,
,,,,,buiteNLand 1 VMBO-BK Werkboek,d670262e-aef4-4e64-89c4-3ff4f1574ecc,20180424111133,
,,,,,Leerwerkboek 1-vmbo-bk FLEX (5e Ed.),95b3f0cd-b9fa-4cd4-b32e-a8da5f257994,20230522101051,c1f4d14d-2a3d-4994-9923-8209323e4a9f
Aardrijkskunde,buiteNLand,1,vmbo kgt,67292ae4-217e-461a-993a-61d204ab4615,buiteNLand 1 VMBO-KGT Leerboek,5d1afbc9-f00b-49f6-9a60-1e1f536c6031,20180424085801,
,,,,,buiteNLand 1 VMBO-KGT Werkboek,d47334bb-39d8-47be-ab8d-4d86743697ee,20180424110240,
,,,,,Leerwerkboek 1-vmbo-kgt FLEX (5e ed.),4fce5bee-12dd-49e7-a258-8f1bde274520,20230329142901,b987ba30-87d2-4640-bff2-6ba7353c65b8
Aardrijkskunde,buiteNLand,1,vmbo t / havo,2189c383-7b4f-4c34-8851-4e38cf5227ed,buiteNLand 1 VMBO-TH Leerboek,92dd48ab-70a7-45c9-bb6f-dde4f30d7002,20180424090823,
,,,,,buiteNLand 1 VMBO-TH Werkboek,0ddc0fd9-16e6-4519-9858-70de0a23491e,20180424112310,
,,,,,Leerwerkboek 1-vmbo-t havo FLEX (5e Ed.),37ff6091-84df-4648-b3f5-7e2aee6e8abc,20230523122011,f6c4378a-30be-40d4-9fd1-1977aaac8c40
Aardrijkskunde,buiteNLand,1,vwo,1a51cc03-1a3d-4d3d-9c67-1ceda5bb27db,buiteNLand 1 VWO Leerboek,234687b3-f591-4732-9b65-8ec88063d70e,20180424094918,
,,,,,buiteNLand 1 VWO Werkboek,0066cc92-fba9-493e-b691-ec38d8dc2090,20180424120300,
,,,,,Leerwerkboek 1-vwo FLEX (5e Ed.),7a54ebee-74fa-41ed-92b8-9e2b92e101a0,20230522102329,bf74faef-910b-46b8-9735-798d67d4feb3
Aardrijkskunde,buiteNLand,2,havo / vwo,35f43beb-e971-46ed-8448-649ce09ef3b4,buiteNLand 2 HAVO/VWO Leerboek,de290f8d-8e6a-40ec-b5fd-26c74fa25049,20180813090842,
,,,,,buiteNLand 2 HAVO/VWO Werkboek,b4fb96c6-e90a-4ed4-9032-9dca792ce97f,20180918073740,
Aardrijkskunde,buiteNLand,2,havo / vwo,7083cd38-5880-4381-91d2-08b76767df29,buiteNLand 2 HAVO/VWO Textbook,d250e050-de54-435f-b32f-c4849245d9d0,20190225142221,
,,,,,buiteNLand 2 HAVO/VWO Workbook,511219e7-eea6-47a7-bc04-0fbca6086c71,20190304122452,
Aardrijkskunde,buiteNLand,2,vmbo bk,c2a9bcbf-e9d8-4548-a9bd-e6e0d721722f,buiteNLand 2 VMBO-BK Leerboek,0865ca48-9517-4005-9f48-ecfb2dbde774,20181227085332,
,,,,,buiteNLand 2 VMBO-BK Werkboek,ab308d7b-7d51-4166-9007-741b76de1015,20190318075517,
Aardrijkskunde,buiteNLand,2,vmbo kgt,b9f8d88e-82ef-4a88-a60d-5f658c6028d0,buiteNLand 2 VMBO-KGT Leerboek,fdc7dd19-e31d-480c-aeb0-439645f7f21e,20180813070756,
,,,,,buiteNLand 2 VMBO-KGT Werkboek,c43e7f7e-55b7-486e-98d2-39e3ab090af1,20180830085853,
Aardrijkskunde,buiteNLand,2,vmbo t / havo,37786bd9-cc96-4fb3-a78d-3a7f9dbe2f31,buiteNLand 2 VMBO-TH Leerboek,967db9d6-5241-417d-a12f-9682b1c99a18,20190109124014,
,,,,,buiteNLand 2 VMBO-TH Werkboek,bce0ab28-f843-4cb0-9cb8-027c903e06c4,20190219082455,
Aardrijkskunde,buiteNLand,2,vwo,00ac7080-32c1-4985-81c1-cfc63451104d,buiteNLand 2 VWO Leerboek,83f4b14d-0fde-4255-9867-19c88aafce9d,20181227083733,
,,,,,buiteNLand 2 VWO Werkboek,93535daa-a0b6-4f70-bee0-cd55575643ed,20190226115931,
Aardrijkskunde,buiteNLand,3,havo,cc2873b3-a9d5-46d1-828f-384a9291197d,buiteNLand 3 HAVO Leerboek,4abe91aa-a1bf-4496-acfb-9b5723aef76b,20191016070545,
,,,,,buiteNLand 3 HAVO Werkboek,3eef36a6-e58c-4dd2-9956-27e3738e441f,20200106095242,
Aardrijkskunde,buiteNLand,3,havo,62bbffa7-b28c-4128-a7b0-99b6c553ce9e,buiteNLand 3 HAVO Leerboek,4abe91aa-a1bf-4496-acfb-9b5723aef76b,20191016070545,
,,,,,buiteNLand 3 HAVO Werkboek,3eef36a6-e58c-4dd2-9956-27e3738e441f,20200106095242,
Aardrijkskunde,buiteNLand,3,vmbo bk,a9afc0fa-df25-41a1-8395-863bea4eb5b9,buiteNLand 3 VMBO-BK Leerboek,7212cb00-749a-4bbc-aa51-4b27c7fdb4ff,20180424093000,
,,,,,buiteNLand 3 VMBO-BK Werkboek,72a0ee83-73ee-43c8-9a09-ab54018f3be9,20180424080004,
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,3,vmbo gt,5bca8750-71ef-4dc6-9c1c-ddd8b4583811,buiteNLand 3 VMBO-GT Leerboek,8b930ea3-69f7-40d1-8fb2-28fd5cf0b887,20180424093926,
,,,,,buiteNLand 3 VMBO-GT Werkboek,a872ab80-27cb-40f7-9ab5-23d5b6705c47,20180424081055,
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,3,vmbo gt,ce4074a9-f6af-4492-9467-019836d3f948,buiteNLand Leerboek 3 vmbo-gt FLEX zonder antw. (4e Ed.),d2e4c6cc-6ef9-4436-a2f3-acc49ef557b3,20230607074609,6ba32010-d0fe-4183-987b-f54ec1027a6e
Aardrijkskunde,buiteNLand,3,vwo,33a1a8f9-59fd-4983-98ea-bc7d9ddcee51,buiteNLand 3 VWO Engels Leerboek,6a502fb1-8224-47d7-bd62-63051667190e,20200212083546,
,,,,,buiteNLand 3 VWO Engels Werkboek,f9e93a93-e9cd-47a0-95a0-a2b19b69a806,20200813121323,
Aardrijkskunde,buiteNLand,3,vwo,7f58a059-ceeb-409a-87c7-02cea2438bfa,buiteNLand 3 VWO Leerboek,ca8ad8b4-8bbf-4252-bc63-885d09e931af,20190820125249,
,,,,,buiteNLand 3 VWO Werkboek,949a3439-5e60-4f5f-8528-db0c24c279cb,20190918110835,
Aardrijkskunde,buiteNLand,4,havo,98795829-67cb-400b-9d95-acae54159cd1,buiteNLand 4 HAVO,edbb180b-73c9-45e9-9f50-6508eb7b30e7,20170622103420,
,,,,,buiteNLand 4 HAVO Opdrachtenboek,2d02344f-f587-42f1-96a4-02f5f467de04,20170509092602,
Aardrijkskunde,buiteNLand,4,havo,05000e9a-6820-4f79-9222-feef48ddb7b5,BuiteNLand 4 HAVO Flex Boek (4.0e Ed.),b960bde6-d6d8-45bf-b7b4-3dbd3c718b99,20220803091122,37dc8d07-de8c-4c2c-9429-8f71262b7700
Aardrijkskunde,buiteNLand,4,havo,376b1827-4166-45ca-8931-4b7cc7114719,buiteNLand 4havo Editie 4.1,d1c53da5-b53a-4fda-b761-35285dc98008,20230710114214,85303f98-dd4f-4189-8194-d97c787db745
Aardrijkskunde,buiteNLand,4,vmbo bk,244a0a5c-18ae-471e-8c72-75ec1457f5e0,BNL3 4 vmbo-bk leerboek FLEX,99e67133-74d3-4f01-84e2-a5ff6a846b63,20210708090312,99ec1720-7869-4c3e-8c5e-a1e9849c9b6d
,,,,,BNL3 4 vmbo-bk werkboek FLEX,d82af78c-86fc-476e-9b35-cd7500750244,20210616124834,74ace497-0ab4-4cfb-8b75-d938d70a6c53
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,4,vmbo bk,dab9b81c-b4a9-4af4-9221-48769a9d119a,buiteNLand 4 VMBO-BK Leerboek,cecff864-9744-4263-b09e-75aeb09caf01,20180719062454,
,,,,,buiteNLand 4 VMBO-BK Werkboek,4f52640e-c897-40c5-b26e-288e6513d298,20180905200656,
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,4,vmbo gt,487d790f-3e98-4f06-9eb4-eb27aa3f18b1,buiteNLand 4 VMBO-GT Leerboek,b9de6e81-ad5b-4b8c-81ce-5d13fc13931b,20180719063945,
,,,,,buiteNLand 4 VMBO-GT Werkboek,0a060944-cab1-4a86-9cdc-2a050407b9ce,20180905200519,
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,4,vmbo gt,801209b0-36c0-4776-b47c-a0d8d46bbb64,BNL3 4 vmbo-gt leerboek FLEX,0e8093e8-6b3f-46e7-89ec-87de77f8e331,20210616125228,9855fde2-5484-432f-98a0-ce963cd0c057
,,,,,BNL3 4 vmbo-gt werkboek FLEX,f5c2212e-da73-4e2e-8034-ffa9d6977e8b,20210616125629,6db029eb-5b2d-49d1-a199-de6d459e6494
,,,,,De Kleine Bosatlas 61e editie,9c53b1b3-90ca-431b-af3f-e32c6aa2c1d6,20230323100231,964cde68-c4c4-4b7c-9c02-a986b1fe67f1
Aardrijkskunde,buiteNLand,4,vwo,41f285ef-de06-40f4-8905-fb9de246c7a0,buiteNLand 4 VWO,977d5fce-8d79-4b4a-8693-aaab1fd38d76,20170509093750,
,,,,,buiteNLand 4 VWO Opdrachtenboek,e02b4c76-75e4-4606-b4f1-4c55f2f8fe70,20180502114552,
Aardrijkskunde,buiteNLand,4,vwo,f4b1b990-3925-46ad-83ec-1e82a22063f7,buiteNLand 4 VWO Flex Boek,2e26fad4-b58d-4452-a608-e89f50dff531,20221010091734,b784b825-9ec8-4055-b050-53bb7ee1cb82
Aardrijkskunde,buiteNLand,4,vwo,ccd4bf00-596e-4c1b-9f4f-4e17581e6b4b,buiteNLand 4vwo Editie 4.1,fd3144c5-1495-4035-9f24-a9b863b07e32,20230705080925,0b63cfec-d4e0-4bd9-adb3-8fe5625b0c99
Aardrijkskunde,buiteNLand,5,havo,a528ba1d-4dc7-43ff-a3fe-731efb9fd656,buiteNLand 5 HAVO LB,c94c441d-a5f5-4a8f-9fc0-368992494520,20180424123011,
,,,,,buiteNLand 5 HAVO Opdrachtenboek,10db049c-c2b4-47a7-a7cb-046af963a9f5,20180424121115,
Aardrijkskunde,buiteNLand,5,havo,0182e657-5edb-449e-97fe-b08ba5918055,buiteNland aardrijkskunde 5 havo Leerwerkboek 4e editie FLEX,3b393cca-708a-4451-8d2a-27584edb31ab,20220707125808,59ba9de9-9df1-47a1-a30c-d09043994506
Aardrijkskunde,buiteNLand,5,havo,06183916-2584-4216-8eb8-4b0a7d061706,buiteNLand 5havo Editie 4.1,ab5fbd27-718c-4cfc-bdcf-6bd72bdc6c50,20230710115657,322ab5a4-e619-43df-ab17-1cea943f0fe4
Aardrijkskunde,buiteNLand,5,vwo,8d426f52-b3dc-4b52-8b66-7482aee51f15,buiteNLand 5 VWO LB,8ae44685-efd7-4be0-b778-02ec5a90f9b2,20180424122028,
,,,,,buiteNLand 5 VWO Opdrachtenboek,feb1698e-eb78-4882-bd32-447f13a199fe,20180424124707,
Aardrijkskunde,buiteNLand,5,vwo,a87bd9f7-ee38-4f7c-a870-4f617f4f5dfd,Ebook buiteNLand 5VWO (4.0 Ed.),fb68795a-21da-4f50-b8da-c1d9197d4be9,20220708094608,e2db935c-240e-4a9c-93e0-cfc787187198
Aardrijkskunde,buiteNLand,5,vwo,fa343a9a-4408-4612-b055-5c9a1a111f9d,buiteNLand 5vwo Editie 4.1,0366b9d6-17d0-4c44-bd08-c6a1bf4fc0bb,20230711063428,052affb5-dc5e-43b9-bc7b-7624759f22fe
Aardrijkskunde,buiteNLand,6,vwo,abcb2e59-eed5-4548-b2e3-69a10ab6ddba,buiteNLand 6 VWO Leerboek,caac2235-7be9-43c7-a121-9ffea4b2dd1e,20180813071734,fa33632c-0538-459d-a165-ac2834b245de
,,,,,buiteNLand 6 VWO Opdrachtenboek,ee94c100-2be5-4f2a-9da0-bf39c8c8d34a,20180813072612,3fda8fa0-5531-4dc9-96d4-1797380b008e
Aardrijkskunde,buiteNLand,6,vwo,991e6d59-32d9-4b2d-a1e2-9da08dba912c,Leerboek 6 vwo FLEX zonder antw. (4e Ed.),b4855bb9-5cef-49b8-83ed-5dee46fd92e9,20240320064203,4781d5bc-ce6f-44cc-bcdb-e15e1f5469a2
Biologie,Nectar,1,havo / vwo,2ad36d26-134f-4d71-aec0-4f1c8ca07cc4,Nectar 5e editie havo/vwo English year 1 textbook,8b9db74d-2571-4b39-84d7-fd38019c3bfe,20180227095715,
,,,,,Nectar 5e editie havo/vwo English year 1 workbook A,e02c61b4-b76a-4dcd-b796-6d2d907e97ea,20170124084901,
,,,,,Nectar 5e editie havo/vwo English year 1 workbook B,18d5ae9a-0897-4417-9e83-17e76f173147,20180226072841,
Biologie,Nectar,1,havo / vwo,6693a919-6d87-4815-9756-7cbdacb15758,Nectar 5e editie biologie havo / vwo deel 1 leerboek,5e8d20b4-e7f2-4144-afdf-503f0b10cca6,20180227100655,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek A,dfac6c2e-8c7b-49e0-810a-70f37e414a81,20180227104111,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek B,e3c15ec6-ca9f-4c3d-b785-f070d0e9bf91,20180227103347,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek A FLEX,58a91987-18be-4ff9-82a5-7155ee9cee56,20210603131739,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek B FLEX,44111890-3382-4602-90b8-b6c1ac6ecbf0,20210603132440,
Biologie,Nectar,1,havo / vwo,75595e96-8704-4fc8-b291-e213cbb0a32a,Nectar 5e editie biologie havo / vwo deel 1 leerboek,5e8d20b4-e7f2-4144-afdf-503f0b10cca6,20180227100655,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek A,dfac6c2e-8c7b-49e0-810a-70f37e414a81,20180227104111,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 werkboek B,e3c15ec6-ca9f-4c3d-b785-f070d0e9bf91,20180227103347,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek A FLEX,58a91987-18be-4ff9-82a5-7155ee9cee56,20210603131739,
,,,,,Nectar 5e editie biologie havo / vwo deel 1 leerwerkboek B FLEX,44111890-3382-4602-90b8-b6c1ac6ecbf0,20210603132440,
Biologie,Nectar,1,vmbo bk,08518a49-27f9-41a3-91d7-89717b935721,Nectar 5e editie biologie vmbo-b/k deel 1 leerwerkboek A,019c00b5-3d2b-4fb3-ac02-a680659c3d4f,20180212130317,
,,,,,Nectar 5e editie biologie vmbo-b/k deel 1 leerwerkboek B,336bfbf2-0eef-44aa-9b4a-574dc8ce5a4d,20180212123638,
Biologie,Nectar,1,vmbo kgt,0dfda7bb-4ad2-4dce-85b7-cbd8aae6736e,Nectar 5e editie biologie vmbo-kgt deel 1 leerwerkboek A FLEX,c985b97d-2d86-4859-9987-fe7664319ef3,20200629160952,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 1 leerwerkboek B FLEX,639e0a35-8a58-41d5-b650-b39fbec53ce3,20200629155728,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek A FLEX,5b4169c4-838f-4452-bfca-e4e7f5f3b307,20210603120439,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek B FLEX,b849a168-61c8-4e21-8b8b-d4964ed9acda,20210603121132,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 2 leerwerkboek A FLEX,26a526d4-2a29-41f3-84f8-cdb2ee1b0d7e,20200629153909,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 2 leerwerkboek B FLEX,78aee193-0227-4700-a610-4ff6b4ae0717,20200629162059,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 2 leerwerkboek A FLEX,383f05dd-e787-4fc7-b6a5-f9b1b68fa56c,20210603124942,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 2 leerwerkboek B FLEX,368fca75-7906-4cad-aa90-15371e190456,20210603125844,
Biologie,Nectar,1,vmbo kgt,2adf847b-4458-4b84-ad81-32ce30f8769a,Nectar 5e editie biologie vmbo-kgt deel 1 leerboek,6a8047cd-0337-4cc8-87d7-a360c208cd8c,20170628113838,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 1 werkboek A,f206449f-2edf-4920-96c1-14453c2f4bfc,20180227102701,
,,,,,Nectar 5e editie biologie vmbo-kgt deel 1 werkboek B,257a60e8-7f8a-481d-9eb1-05e7f7ccee6f,20180212131600,
Biologie,Nectar,1,vmbo t / havo,2077e2c9-d4bc-46d0-bfd1-29b25614f76c,Nectar 5e editie biologie vmbo-t/havo deel 1 leerboek,3fd49cf0-7072-444d-94d1-7108c417d46f,20170718121552,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 werkboek A,c9806e5c-2746-4ad4-9dd5-53969811fc10,20180227101441,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 werkboek B,827064c4-b915-42e3-8ece-069a62746ac2,20180227083209,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek A FLEX,5b4169c4-838f-4452-bfca-e4e7f5f3b307,20210603120439,
,,,,,Nectar 5e editie biologie vmbo-t/havo deel 1 leerwerkboek B FLEX,b849a168-61c8-4e21-8b8b-d4964ed9acda,20210603121132,
